786	 "Bartels System GmbH"	0
171	 "B33f Networks"	0
290	 "Asiakomnet Multimedia"	0
366	 "ElektroPost AB"	1
525	 "Internet Engineering Limited"	0
870	 "Triple T Global Net"	0
84	 "Bebo, Inc."	0
208	 "Paratus Telecom"	6
729	 "Fastweb"	2
212	 "Pricegrabber.com"	5
633	 "Neowiz Corp."	0
905	 "WideVOIP - WhichWAN / Chmurtz SaRL"	0
785	 "Virgin Media"	7
151	 "ratiokontakt GmbH"	0
719	 "Qube Managed Services Limited"	10
178	 "PPR"	0
104	 "Eclipse Internet"	22
454	 "Net at Once AB"	2
695	 "Nuclearfallout Enterprises, Inc."	0
744	 "Clarksys AS7012"	0
501	 "NERO Network"	0
888	 "Pocketinet Communications, Inc."	0
450	 "B2B2C Inc"	9
262	 "Bahamas Telecommunications Company, LTD."	15
860	 "Ownit Broadband AB"	0
174	 "Hydro One Telecom"	0
596	 "SNI"	6
584	 "StarHub (as4657)"	2
877	 "IDE Group"	2
776	 "n@work Internet Informationssysteme GmbH"	0
913	 "SoftLayer Technologies, Inc. (an IBM Company)"	3
39	 "Windstream"	0
375	 "Neustar"	0
640	 "Cablecom Networking"	0
272	 "GTT Communications (AS4565)"	0
298	 "Simply Transit Ltd"	0
511	 "UberGlobal Pty Ltd"	0
692	 "Plus.line AG"	0
9	 "Charter Communications (7843)"	0
94	 "Orbital Net Ltd"	0
844	 "in2ip"	0
270	 "Sungard Availability Services"	2
498	 "Southern Crossroads (SoX)"	0
317	 "domainfactory GmbH"	14
700	 "CBizz B.V."	2
92	 "Beanfield Metroconnect Inc."	0
381	 "Wildcard Networks"	0
210	 "Texlink Communications"	0
654	 "Suddenlink Communications"	0
683	 "meerfarbig GmbH & Co. KG"	1
309	 "Phyxia Networks"	11
289	 "Cambrium BV."	0
752	 "M-net Telekommunikations GmbH"	0
323	 "GARR"	0
363	 "LeaseWeb Network"	0
263	 "INEX Route Collectors"	2
885	 "Equinix Connect - FR Metro"	3
836	 "Zayo France"	0
571	 "Zillow Group"	0
199	 "Webair"	0
734	 "Siminn"	0
611	 "ISC"	0
552	 "Nextiva, Inc."	0
313	 "Openminds"	0
662	 "Manx Telecom Ltd"	11
726	 "Domicilium (IoM) Limited"	0
423	 "InterBox Internet"	13
113	 "SIG Telecom"	0
155	 "Talk Talk Business"	9
559	 "Maverick"	0
147	 "BIT BV"	0
140	 "TNG Stadtnetz GmbH"	3
473	 "Nebula Oy"	11
550	 "myLoc managed IT AG"	2
980	 "Devclic"	0
687	 "Zenlayer Inc"	0
823	 "Worldlink"	5
805	 "Bulletproof Networks"	4
8	 "Verizon Managed Router Service"	9
163	 "QTS New Jersey"	21
496	 "ATX Communications, Inc."	0
952	 "GTT Communications (AS6459)"	0
219	 "Frontier Communications of America (FCA)"	4
558	 "FDCServers.Net"	3
332	 "RIPE NCC RIS Project"	0
690	 "OXEVA"	15
697	 "Neovera, Inc."	0
685	 "Accelerated IT Services GmbH"	0
843	 "ANTEL"	1
99	 "Quickline AG"	5
240	 "Telenor (Norway/Sweden)"	4
356	 "Netcalibre Ltd"	0
18	 "Renesys"	0
326	 "Kcom SPN"	0
284	 "Highwinds Network Group, Inc"	0
725	 "ioko"	14
713	 "UK2Group"	16
150	 "NASK"	20
77	 "Easyhost"	1
604	 "TMHK"	1
922	 "Neolution AG"	0
526	 "The Cloud Networks"	0
55	 "VIA NET.WORKS"	0
179	 "Mezhdurechensk factory of radio equipment repair, Ltd"	10
919	 "IPHH Internet Port Hamburg GmbH"	1
806	 "OBIT"	0
162	 "MTS Allstream"	0
811	 "Conexim Australia Pty Ltd"	0
251	 "NODEX LTD"	0
696	 "Oi"	0
294	 "Education Networks of America, Inc."	1
969	 "Carolina Internet / CaroNet"	0
420	 "i-Netboys"	0
668	 "equada network GmbH"	2
316	 "Docomo Pacific"	5
127	 "green.ch AG"	0
716	 "Host Europe GmbH"	2
82	 "Paetec Communications"	0
225	 "VIA NET.WORKS Portugal"	0
125	 "DataPipe"	0
681	 "BendTel"	2
542	 "ICANN"	0
149	 "DENIC eG"	5
169	 "NuCDN"	1
703	 "CDNetworks"	0
30	 "Cologix"	1
937	 "HSI Networks"	9
130	 "Telekom Malaysia Berhad (TM)"	0
657	 "Zattoo"	2
19	 "Rackspace"	5
865	 "Prosodie Cap Gemini"	1
